30360-QQ智能大数据后台开发高级工程师,23-45K·16薪,"岗位职责： 负责QQ平台海量服务功能开发； 大数据项目后台架构工程师； 负责推荐系统/特征工程/AI工程架构； 负责推荐后台架构升级优化，机器学习模型性能优化； 负责离线大数据训练集群上功能开发和性能优化。
岗位要求： 计算机相关专业本科以上学历，毕业三年，工作两年经验以上； 精通C++/java/go语言，熟悉至少一门脚本语言例如python或者python； 熟悉linux后台程序开发性能优化经验； 熟悉spark等大数据生态技术栈，有实际工作经验； 对机器学习/AI有基础或者学习能力好的尤佳 深圳市腾讯计算机系统有限公司成立于1998年11月，由马化腾、张志东、许晨晔、陈一丹、曾李青五位创始人共同创立。 是中国最大的互联网综合服务提供商之一，也是中国服务用户最多的互联网企业之一。
腾讯多元化的服务包括：社交和通信服务QQ及微信/WeChat、社交网络平台QQ空间、腾讯游戏旗下QQ游戏平",深圳市腾讯计算机系统有限公司,深圳南山区腾讯大厦
数据挖掘工程师-实习,250-310/天,"岗位：数据挖掘工程师实习生
实习内容：
参与智慧金融/智慧医疗/智慧城市等集团核心项目的建模工作。
协助参与集团内外重点项目人工智能应用解决方案的实施
基于业务洞察，挖掘数据价值
协助研究提升模型精度和效率
技能要求：
良好的算法基础：熟悉机器学习基本理论和算法相关原理，具备良好的数学基础
能够基于业务场景进行算法选型、算法优化不断提升效果
熟练掌握Python、Scala、HiveSql，具备优秀的开发和调试能力
逻辑清晰，善于思考和总结，能够快速响应，积极主动完成任务
熟悉Linux环境，有基于Tensorflow/Caffe 等研发深度学习算法经验者优先
熟悉Spark、Hadoop框架，开源社区活跃者优先
有医疗/金融AI相关经验优先
实习时间：每周至少实习4天，至少实习３个月，优先考虑大三或研二的同学
实习待遇：研究生300元/天、本科生200元/天
工作地点：深圳、上海、北京 平安驭策团队由平安集团首席科学家肖京博士、《麻省理工科技评论》“中国35岁以下科技创新35人”徐亮博士领导，成员来自牛津大学、卡耐基梅隆大学、清华大学等国际国内顶尖学府和国内外知名企业。目前团队已申请100余项国家专利，承担从国家到地方的多个项目，为平安集团内部10+专业公司提供人工智能解决方案。 平安科技是平安集团的全资子公司，致力于运用人工智能、智能认知、云计算、区块链等前沿科技，为人们打造全新云生活。对内，平安科技是平安集团的高科技内核和科技企业孵化器，负责开发并运营集团的关键平台和服务。对外，平安科技以智慧科技为手段、以智造未来为蓝图，聚焦于医疗、金融、智慧城市三大领域，将国际权威认证",平安科技（深圳）有限公司,深圳南山区嘉联支付大厦
测试开发工程师,15-30K,"测试开发工程师（架构师、后端开发、前端开发）
岗位职责：
设计和开发公司级大型能效平台和测试系统；
主导技术难题攻关，保证平台系统安全、稳定、快速实现；
通过测试方法和测试工具创新，提升研发质量和效率。
任职资格：
本科及以上学历，计算机相关专业；
熟悉Python、Java、C++语言中至少一种；
熟悉Django、Tornado、Flask、springboot中的至少一种；
熟悉Javascript、HTML、CSS、Vue.js、React、Anglarjs。 OPPO 是更多年轻人选择的拍照手机品牌。

十年来，OPPO 专注于手机拍照领域的技术创新，开创了手机自拍美颜时代，先后首发了前置 500 万像素和 1600 万像素的拍照手机，创造性地推出了全球首个电动旋转摄像头和超清画质等拍照技术，为全球 20 多个国家和地区的年轻人提供了出色的手机拍照体",OPPO广东移动通信有限公司,深圳南山区卓越·后海中心
算法测试工程师,15-30K,"算法测试工程师（AI测试、算法测试）
岗位职责：
负责推荐算法、语音识别、图像识别等算法相关测试工作。
主导算法测试体系、评价体系的建设；
通过工具开发、自动化等方式提升测试效率。
任职要求：
计算机、统计、数学等相关专业，本科及以上学历，硕士及以上优先；
1年以上算法开发或测试相关经验，能独立完成测试业务方案设计；
熟练掌握python、java语言，熟悉linux开发环境；
有广告、推荐系统、语音识别、语义解析、图像识别相关项目经验者优先；
有大数据、机器学习相关项目经验者优先。 OPPO 是更多年轻人选择的拍照手机品牌。

十年来，OPPO 专注于手机拍照领域的技术创新，开创了手机自拍美颜时代，先后首发了前置 500 万像素和 1600 万像素的拍照手机，创造性地推出了全球首个电动旋转摄像头和超清画质等拍照技术，为全球 20 多个国家和地区的年轻人提供了出色的手机拍照体",OPPO广东移动通信有限公司,深圳南山区卓越·后海中心
服务端测试工程师,15-30K,"服务端测试工程师（业务测试、性能测试）
岗位职责:
主导所负责项目的测试工作，对测试结果负责；
制定测试计划，识别品质风险，提出合理的解决方案；
根据需求特性，制定完善的测试方案和测试设计；
组织执行测试任务，整理和分析测试结果；
改善测试方法和测试工具，促进团队专业水平的提升。
职位要求:
本科及以上学历，计算机相关专业；
1年以上服务端测试或开发经验；
熟练Linux、网络、数据库、分布式系统；
熟悉C++、Java、Python中至少一种编程语言；
有性能测试、安全测试、白盒测试、持续集成经验优先。 OPPO 是更多年轻人选择的拍照手机品牌。

十年来，OPPO 专注于手机拍照领域的技术创新，开创了手机自拍美颜时代，先后首发了前置 500 万像素和 1600 万像素的拍照手机，创造性地推出了全球首个电动旋转摄像头和超清画质等拍照技术，为全球 20 多个国家和地区的年轻人提供了出色的手机拍照体",OPPO广东移动通信有限公司,深圳南山区卓越·后海中心
硬件工程师,10-11K,Layou工程师，三年以上多层板经验，有单片机，智能主板或者蓝牙耳机音箱主板Layout经验。 深圳市飒英智能科技有限公司是一家专业以跨境电商为主的智能科技公司，伴随着总公司声德数码科技（2011年成立，专注于高端蓝牙音响自主研发的知名品牌，目前产品在市场垂直品类品牌中销售及排名为行业前4）在国内迅猛的业务发展态势，我们成立飒英智能，为公司在海外的布局与发展拉开新篇章。我们以成长为中国跨境电商,深圳市飒英智能科技有限公司,深圳龙华区广东省深圳市宝安区大浪街道联建工业园8栋2楼201
车联网服务端测试工程师,17-18K,"测试开发工程师-server端
工作地点： 深圳市
工作职责：
-根据产品需求进行系统测试，包括测试设计、执行、Bug提交和追踪，测试报告等
-开发测试工具和自动测试框架、自动测试脚本，进行自动化测试
-对项目研发流程进行优化，提高整个项目的交付效率
-开发和维护高效的持续集成、单元测试框架和工具，提高开发工作效率和提测代码质量，并参与代码评审
-协助研发定位问题
职位要求：
-本科或以上学历，计算机软件相关专业优先
-有扎实的PHP/python/C++/java语言基础;
-熟悉php、python开发工具和相关开发测试工具的使用
-具备强烈的进取心和责任感, 极强的学习能力及良好的团队合作精神
-具有较强逻辑思维能力和表达能力
-对敏捷流程熟悉者优先
-善于学习和运用新知识，有很强的分析能力和定位问题的能力 百度（纳斯达克：BIDU），全球最大的中文搜索引擎、最大的中文网站。1999年底,身在美国硅谷的李彦宏看到了中国互联网及中文搜索引擎服务的巨大发展潜力，抱着技术改变世界的梦想，他毅然辞掉硅谷的高薪工作，携搜索引擎专利技术，于 2000年1月1日在中关村创建了百度公司。
“百度&rdqu",百度国际科技（深圳）有限公司,深圳南山区深圳百度国际大厦
软件测试技术员,7-12K,"助理软件测试工程师
岗位职责：
进行需求分析，制定测试计划，设计测试用例；
实施软件测试，对产品的功能、性能、安全等方面进行测试；
跟踪品质问题，推动问题处理并制定规避方案。
任职要求：
计算机相关专业，专科及以上学历；
2年以上软件测试经验；
良好的沟通能力和学习能力；
了解软件基本方法和测试流程；
熟悉至少一种编程语言（Python、Java、C++）；
熟悉Android专项、服务端性能测试、安全测试优先。 OPPO 是更多年轻人选择的拍照手机品牌。

十年来，OPPO 专注于手机拍照领域的技术创新，开创了手机自拍美颜时代，先后首发了前置 500 万像素和 1600 万像素的拍照手机，创造性地推出了全球首个电动旋转摄像头和超清画质等拍照技术，为全球 20 多个国家和地区的年轻人提供了出色的手机拍照体",OPPO广东移动通信有限公司,深圳市 南山区 卓越·后海中心
DevOps工程师,15-25K,"职责和责任

•通过与整个IT团队合作，构建和维护devops工具链，从源代码版本控制到产品发布，即端到端构建到发布周期，
•利用各种开源技术并使用各种工具来编排解决方案，以确保生产系统的可用性，性能，可扩展性和安全性
•生产系统的建立，发布和配置管理; 构建独立的基于Web的工具，微服务和解决方案以实现自动化和改进。
•使用Perl / Python / Groovy / Java / Bash编写用于管理系统服务和IT操作的脚本和自动化
•配置和管理理性数据库，nosql，流数据，大数据等数据源
•支持测试自动化以帮助确保我们产品和服务的质量。
•选择，维护和利用监控工具来确保我们产品的服务连续性。
•了解各种系统如何协同工作，跨平台和应用程序域进行系统故障排除和问题解决。
•建议架构和运营的改善，推荐流程改善; 评估新技术选项和供应商产品。
•通过与我们的信息部门人员一起使用***实践，确保关键的系统安全
DevOps工程师要求

•学士学位或工程硕士或同等学历
•1年以上作为DevOps工程师在7*24小时的正常运行环境的经验，包括配置管理工具的自动化经验
•3年以上的实践经验，至少使用一种脚本语言或相应的开发经验。
•5年以上基于Windows和Linux管理的基础架构的经验，具有AWS云基础架构工程经验尤佳。 纯开发团队，现有团队90人。新兴技术，敏捷开发模式，双屏显示器... 公司简介
我们是一家创新型科技公司，现拥有强大的客户群体，以确保公司稳定而快速的发展，同时，我们通过新兴技术为我们的扩张和转型获得了风险投资。我们正在将最新和最好的技术融入到我们的产品中，例如人工智能/machine learning，大数据分析，区块链，沉浸式用户体验等。 我们拥有一个有趣",深圳市新类型科技有限公司,深圳市 南山区 桑达科技大厦 802
电子工程师,10-20K,智能电器电子工程师，有独立完IH加热和WIFI物联网产品的经验 生产、销售巧釜低糖炊饭器,重庆乐客智能电器有限公司,深圳龙岗区宝能智创谷
